Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Samoa,WSM,550,520,..,..,..,..,..,..,..,..,..,..,1410,1550,1830,2220,2450,2640,2950,3140,3400,3540,3560,3720,3790,3930,4080,4050,4060,4230,4000,3820,3630
San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39740,42250,44390,41450,47120,..
Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,600,690,800,910,940,990,1040,1120,1170,1220,1420,1620,1640,1680,1690,1860,1960,2100,2260,2410
Saudi Arabia,SAU,7490,8370,8500,8010,7660,7710,7880,8010,7740,7350,7810,8180,8070,9200,10800,12350,13670,15080,17420,16730,17480,19750,22930,24510,24910,23430,21590,20090,21880,23180,22420,23920,27590
Senegal,SEN,920,930,980,940,770,740,710,710,700,690,670,660,630,730,880,1000,1040,1110,1260,1340,1350,1320,1330,1360,1390,1330,1300,1300,1420,1460,1460,1560,1640
Serbia,SRB,..,..,..,..,..,..,..,2990,2990,2610,1610,1540,1520,2390,3250,3790,4130,4830,6030,6450,6220,6190,6080,6460,6240,5960,5700,5570,6410,7040,7440,8460,9140
Seychelles,SYC,5370,5550,6400,6850,6900,6910,7430,7940,7520,7630,7920,7860,7330,8000,9870,11850,13380,12890,11520,10310,10160,11150,11830,12330,13170,13890,13920,14130,15220,16140,13450,13190,14340
Sierra Leone,SLE,190,170,130,160,160,180,200,190,170,150,140,150,200,260,270,290,260,370,420,440,420,440,460,650,680,550,540,520,510,520,490,510,510
Singapore,SGP,11450,12970,15270,17710,20780,23630,25610,27730,24010,23360,23680,22130,22000,23440,26170,28830,32550,36010,37230,37320,44930,48250,51710,54470,56380,53160,53290,54920,56560,58910,55260,63000,67200
Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27540,28670,29560,30890,28210,27510,31030,27420,31500,..
Slovak Republic,SVK,..,..,..,..,..,4220,5020,5420,5430,5380,5540,5730,6040,6980,9060,11370,12950,14940,17290,17150,17620,17590,17830,18270,18340,17760,16840,16670,18400,19200,19180,20640,22060
Slovenia,SVN,..,..,..,..,..,..,..,11240,11000,11320,11270,10950,10920,12630,15610,18310,19820,21800,24660,24450,24620,24630,23260,23240,23620,22270,21790,22140,24650,26040,25400,28280,30600
Solomon Islands,SLB,610,640,770,820,960,1150,1260,1250,1180,1110,940,890,800,880,990,1140,1180,1250,1360,1430,1580,1690,1840,2130,2160,2100,2110,2150,2320,2390,2340,2290,2220
Somalia,SOM,140,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,400,400,380,390,410,410,430,470
South Africa,ZAF,2890,3020,3290,3440,3610,3780,3830,3790,3420,3330,3280,3080,2890,3180,4070,5480,6180,6510,6560,6420,6810,7700,8320,8050,7340,6550,5960,5950,6390,6730,6090,6530,6780
South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,770,800,1090,1170,1040,..,..,..,..,..,..,..
Spain,ESP,12210,13700,15610,15010,14470,14830,15560,15820,15440,15480,15790,15540,15630,18080,22130,25910,27850,29770,32250,32560,31970,31020,29540,29230,29160,28460,27570,27120,29330,30360,27130,29690,31680
Sri Lanka,LKA,470,500,550,600,640,700,750,800,820,840,870,830,840,940,1060,1200,1350,1530,1760,1970,2380,2850,3370,3530,3730,3860,3980,4210,4360,4220,3880,4000,3610
St. Kitts and Nevis,KNA,5170,5240,5680,6150,6650,7220,7580,7930,7650,8060,8850,9160,9150,9140,10330,11670,12560,13260,15860,15710,15790,16520,16790,18210,18410,18360,19320,20020,21530,23340,19420,19020,19730
St. Lucia,LCA,3620,3740,4260,4260,4340,4490,4690,4620,4810,5050,5460,5250,5280,5650,6300,6550,7210,7510,8160,8140,8240,8870,8970,9000,9000,8970,9640,10200,10980,11040,8590,9750,11160
